task,metric,metric_label,scope,random_mean,original_mean,random_minus_original,p_random_vs_original,q_random_vs_original,ad_guided_mean,random_minus_ad_guided,p_random_vs_ad,q_random_vs_ad,interpretation
Working memory,dglt_backward,DGLT backward,AllSig,0.08,1.0,-0.92,1.7429771332297862e-64,3.4859542664595724e-64,0.0,0.08,0.14036866077167362,0.18715821436223148,Likely non-specific perturbation
Working memory,dglt_forward,DGLT forward,10000,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,No FDR-significant random-control evidence
Working memory,dglt_forward,DGLT forward,AllSig,1.0,1.0,0.0,1.0,1.0,0.28,0.72,1.0762326697521405e-15,4.304930679008562e-15,Selection-specific evidence
Immediate recall,immediate_entity_n,Entities recalled,10000,6.92,7.0,-0.08000000000000007,0.14036866077167132,0.18715821436222843,6.98,-0.0600000000000005,0.3074341659273947,0.3074341659273947,No FDR-significant random-control evidence
Immediate recall,immediate_entity_n,Entities recalled,AllSig,6.88,7.0,-0.1200000000000001,0.06483815699206488,0.12967631398412977,6.66,0.21999999999999975,0.03818247191368397,0.12967631398412977,No FDR-significant random-control evidence
Immediate recall,immediate_event_n,Events recalled,10000,11.4,11.38,0.019999999999999574,0.9173935570506471,0.9214939304510664,11.38,0.019999999999999574,0.9214939304510664,0.9214939304510664,No FDR-significant random-control evidence
Immediate recall,immediate_event_n,Events recalled,AllSig,10.64,11.38,-0.7400000000000002,0.0019199054068018745,0.003839810813603749,9.82,0.8200000000000003,0.0006838422928488057,0.0027353691713952227,Random perturbation occurs but differs from AD-guided editing
Delayed recall,delay_entity_n,Entities recalled,10000,7.0,6.96,0.040000000000000036,0.14036866077166946,0.18715821436222593,6.92,0.08000000000000007,0.0290963317412525,0.11638532696501,No FDR-significant random-control evidence
Delayed recall,delay_entity_n,Entities recalled,AllSig,6.8,6.96,-0.16000000000000014,0.0696104973294964,0.1392209946589928,6.58,0.21999999999999975,0.1890982261822366,0.1890982261822366,No FDR-significant random-control evidence
Delayed recall,delay_event_n,Events recalled,10000,11.4,11.46,-0.0600000000000005,0.7248439314993083,0.8053091914035355,11.44,-0.03999999999999915,0.8053091914035355,0.8053091914035355,No FDR-significant random-control evidence
Delayed recall,delay_event_n,Events recalled,AllSig,10.72,11.46,-0.7400000000000002,0.005062491244998035,0.02024996497999214,9.94,0.7800000000000011,0.011154418213538665,0.02230883642707733,Random perturbation occurs but differs from AD-guided editing
Scene construction,scene_ep_span_rate,Episodic details,10000,0.9172453102453102,0.9293718219345155,-0.01212651168920531,0.6036655325583414,0.6036655325583414,0.8690944475201441,0.04815086272516611,0.016010942122731124,0.021347922830308164,Selection-specific evidence
Scene construction,scene_ep_span_rate,Episodic details,AllSig,0.8544416694416693,0.9293718219345155,-0.07493015249284618,0.00025302799703130367,0.0010121119881252147,0.5990425655131874,0.255399103928482,0.004477683367544426,0.008955366735088852,Random perturbation occurs but differs from AD-guided editing
Scene construction,scene_nonep_span_rate,Non-episodic details,10000,0.08275468975468975,0.06839907589830187,0.01435561385638788,0.5343040313057159,0.6037880294555475,0.09316534016379215,-0.010410650409102398,0.6037880294555475,0.6037880294555475,No FDR-significant random-control evidence
Scene construction,scene_nonep_span_rate,Non-episodic details,AllSig,0.14555833055833053,0.06839907589830187,0.07715925466002867,0.0001057886767738486,0.0004231547070953944,0.07656060908998717,0.06899772146834336,0.0019755069860123023,0.003951013972024605,Random perturbation occurs but differs from AD-guided editing
